rollout_id,grid_x,grid_y,base_idx,actual_object_init_x,actual_object_init_y,actual_object_init_z,override_error_m,grasp_point_x,grasp_point_y,grasp_point_z,success,num_steps,ee_trajectory_path,status,error
0,-0.13,0.13,0,nan,nan,nan,nan,nan,nan,nan,False,0,/Users/gsn89/ReadTeam/pi05_trajectories/rollout_000.json,error,"RuntimeError('Object override did not take cleanly: commanded=(-0.130,0.130), actual=(-0.106,0.109), err=0.0322m')"
1,-0.13,0.13,1,nan,nan,nan,nan,nan,nan,nan,False,0,/Users/gsn89/ReadTeam/pi05_trajectories/rollout_001.json,error,"RuntimeError('Object override did not take cleanly: commanded=(-0.130,0.130), actual=(-0.113,0.116), err=0.0217m')"
2,-0.13,0.13,2,nan,nan,nan,nan,nan,nan,nan,False,0,/Users/gsn89/ReadTeam/pi05_trajectories/rollout_002.json,error,"RuntimeError('Object override did not take cleanly: commanded=(-0.130,0.130), actual=(-0.118,0.118), err=0.0167m')"
3,-0.13,0.165,0,-0.1258087344320035,0.16226782614283095,0.8993545042784162,0.00500314711429428,-0.13061824288343807,0.1402482265397785,0.915206138949711,True,74,/Users/gsn89/ReadTeam/pi05_trajectories/rollout_003.json,ok,
4,-0.13,0.165,1,-0.12862575807796353,0.16234948191971693,0.9003439497112037,0.002985596582626324,-0.12727436157421243,0.13042529890992305,0.9209497736696175,True,73,/Users/gsn89/ReadTeam/pi05_trajectories/rollout_004.json,ok,
5,-0.13,0.165,2,-0.13362711877278918,0.1648410466918898,0.9036638689897641,0.0036306000531701175,-0.13443918484335426,0.13921375525837368,0.9161909817401345,True,73,/Users/gsn89/ReadTeam/pi05_trajectories/rollout_005.json,ok,
6,-0.13,0.2,0,-0.13409461819681928,0.20101946375214233,0.9026298418101085,0.004219621371599073,-0.12470776796150251,0.15458913245878106,0.9174357569868818,True,73,/Users/gsn89/ReadTeam/pi05_trajectories/rollout_006.json,ok,
7,-0.13,0.2,1,-0.126814002964802,0.2018527761039407,0.9011439528603277,0.0036855605271958474,-0.10889249913145181,0.15569044731601064,0.9125850156911604,True,78,/Users/gsn89/ReadTeam/pi05_trajectories/rollout_007.json,ok,
8,-0.13,0.2,2,-0.131005418545349,0.20087598977279,0.8995488344674006,0.0013335008561543384,-0.12036151221564205,0.152606230819752,0.9160280573658444,True,75,/Users/gsn89/ReadTeam/pi05_trajectories/rollout_008.json,ok,
9,-0.13,0.23500000000000001,0,nan,nan,nan,nan,nan,nan,nan,False,0,/Users/gsn89/ReadTeam/pi05_trajectories/rollout_009.json,error,"RuntimeError('Object override did not take cleanly: commanded=(-0.130,0.235), actual=(-0.111,0.235), err=0.0190m')"
10,-0.13,0.23500000000000001,1,-0.1251781084828777,0.2252748669981164,0.91115310586027,0.010854899801804789,-0.08393199525316943,0.16509417794069098,0.916780400154984,False,220,/Users/gsn89/ReadTeam/pi05_trajectories/rollout_010.json,ok,
11,-0.13,0.23500000000000001,2,-0.13057480687793296,0.22819362410389135,0.904764812760736,0.006830604349986028,-0.11126368000710042,0.17259547501317557,0.9264445930979543,True,72,/Users/gsn89/ReadTeam/pi05_trajectories/rollout_011.json,ok,
12,-0.13,0.27,0,-0.13117256103950656,0.2710353245981725,0.8996650294056047,0.001564223901795921,-0.1211891270344826,0.22277282054350023,0.9303790361485228,True,183,/Users/gsn89/ReadTeam/pi05_trajectories/rollout_012.json,ok,
